,날짜,서울황사일수
127,1968-08,0
128,1968-09,0
129,1968-10,0
130,1968-11,0
131,1968-12,0
132,1969-01,0
133,1969-02,0
134,1969-03,0
135,1969-04,3
136,1969-05,1
137,1969-06,0
138,1969-07,0
139,1969-08,0
140,1969-09,0
141,1969-10,0
142,1969-11,0
143,1969-12,0
144,1970-01,0
145,1970-02,0
146,1970-03,0
147,1970-04,0
148,1970-05,0
149,1970-06,0
150,1970-07,0
151,1970-08,0
152,1970-09,0
153,1970-10,0
154,1970-11,0
155,1970-12,0
156,1971-01,0
157,1971-02,0
158,1971-03,0
159,1971-04,1
160,1971-05,0
161,1971-06,0
162,1971-07,0
163,1971-08,0
164,1971-09,0
165,1971-10,0
166,1971-11,0
167,1971-12,0
168,1972-01,0
169,1972-02,0
170,1972-03,0
171,1972-04,0
172,1972-05,1
173,1972-06,0
174,1972-07,0
175,1972-08,0
176,1972-09,0
177,1972-10,0
178,1972-11,0
179,1972-12,0
180,1973-01,0
181,1973-02,0
182,1973-03,0
183,1973-04,0
184,1973-05,2
185,1973-06,0
186,1973-07,0
187,1973-08,0
188,1973-09,0
189,1973-10,0
190,1973-11,0
191,1973-12,0
192,1974-01,0
193,1974-02,0
194,1974-03,0
195,1974-04,0
196,1974-05,0
197,1974-06,0
198,1974-07,0
199,1974-08,0
200,1974-09,0
201,1974-10,0
202,1974-11,0
203,1974-12,0
204,1975-01,0
205,1975-02,0
206,1975-03,0
207,1975-04,3
208,1975-05,0
209,1975-06,0
210,1975-07,0
211,1975-08,0
212,1975-09,0
213,1975-10,0
214,1975-11,0
215,1975-12,0
216,1976-01,0
217,1976-02,0
218,1976-03,2
219,1976-04,4
220,1976-05,0
221,1976-06,0
222,1976-07,0
223,1976-08,0
224,1976-09,0
225,1976-10,0
226,1976-11,0
227,1976-12,0
228,1977-01,0
229,1977-02,3
230,1977-03,3
231,1977-04,0
232,1977-05,0
233,1977-06,0
234,1977-07,0
235,1977-08,0
236,1977-09,0
237,1977-10,0
238,1977-11,0
239,1977-12,0
240,1978-01,0
241,1978-02,0
242,1978-03,0
243,1978-04,0
244,1978-05,0
245,1978-06,0
246,1978-07,0
247,1978-08,0
248,1978-09,0
249,1978-10,0
250,1978-11,0
251,1978-12,0
252,1979-01,0
253,1979-02,0
254,1979-03,0
255,1979-04,4
256,1979-05,0
257,1979-06,0
258,1979-07,0
259,1979-08,0
260,1979-09,0
261,1979-10,0
262,1979-11,0
263,1979-12,0
264,1980-01,0
265,1980-02,0
266,1980-03,0
267,1980-04,2
268,1980-05,3
269,1980-06,0
270,1980-07,0
271,1980-08,0
272,1980-09,0
273,1980-10,0
274,1980-11,0
275,1980-12,0
276,1981-01,0
277,1981-02,0
278,1981-03,2
279,1981-04,1
280,1981-05,7
281,1981-06,0
282,1981-07,0
283,1981-08,0
284,1981-09,0
285,1981-10,0
286,1981-11,0
287,1981-12,0
288,1982-01,0
289,1982-02,0
290,1982-03,0
291,1982-04,0
292,1982-05,5
293,1982-06,0
294,1982-07,0
295,1982-08,0
296,1982-09,0
297,1982-10,0
298,1982-11,0
299,1982-12,0
300,1983-01,0
301,1983-02,0
302,1983-03,0
303,1983-04,3
304,1983-05,2
305,1983-06,0
306,1983-07,0
307,1983-08,0
308,1983-09,0
309,1983-10,0
310,1983-11,0
311,1983-12,0
312,1984-01,0
313,1984-02,0
314,1984-03,2
315,1984-04,1
316,1984-05,2
317,1984-06,0
318,1984-07,0
319,1984-08,0
320,1984-09,0
321,1984-10,0
322,1984-11,0
323,1984-12,0
324,1985-01,0
325,1985-02,0
326,1985-03,2
327,1985-04,0
328,1985-05,0
329,1985-06,0
330,1985-07,0
331,1985-08,0
332,1985-09,0
333,1985-10,0
334,1985-11,0
335,1985-12,0
336,1986-01,0
337,1986-02,0
338,1986-03,0
339,1986-04,0
340,1986-05,0
341,1986-06,0
342,1986-07,0
343,1986-08,0
344,1986-09,0
345,1986-10,0
346,1986-11,0
347,1986-12,0
348,1987-01,0
349,1987-02,0
350,1987-03,1
351,1987-04,0
352,1987-05,0
353,1987-06,0
354,1987-07,0
355,1987-08,0
356,1987-09,0
357,1987-10,0
358,1987-11,0
359,1987-12,0
360,1988-01,0
361,1988-02,0
362,1988-03,0
363,1988-04,8
364,1988-05,0
365,1988-06,0
366,1988-07,0
367,1988-08,0
368,1988-09,0
369,1988-10,0
370,1988-11,0
371,1988-12,0
372,1989-01,0
373,1989-02,0
374,1989-03,0
375,1989-04,0
376,1989-05,0
377,1989-06,0
378,1989-07,0
379,1989-08,0
380,1989-09,0
381,1989-10,0
382,1989-11,0
383,1989-12,0
384,1990-01,0
385,1990-02,0
386,1990-03,0
387,1990-04,3
388,1990-05,0
389,1990-06,0
390,1990-07,0
391,1990-08,0
392,1990-09,0
393,1990-10,0
394,1990-11,0
395,1990-12,0
396,1991-01,0
397,1991-02,0
398,1991-03,0
399,1991-04,0
400,1991-05,7
401,1991-06,0
402,1991-07,0
403,1991-08,0
404,1991-09,0
405,1991-10,0
406,1991-11,1
407,1991-12,3
408,1992-01,0
409,1992-02,0
410,1992-03,0
411,1992-04,8
412,1992-05,0
413,1992-06,0
414,1992-07,0
415,1992-08,0
416,1992-09,0
417,1992-10,0
418,1992-11,0
419,1992-12,0
420,1993-01,0
421,1993-02,0
422,1993-03,0
423,1993-04,10
424,1993-05,4
425,1993-06,0
426,1993-07,0
427,1993-08,0
428,1993-09,0
429,1993-10,0
430,1993-11,0
431,1993-12,0
432,1994-01,0
433,1994-02,0
434,1994-03,0
435,1994-04,0
436,1994-05,0
437,1994-06,0
438,1994-07,0
439,1994-08,0
440,1994-09,0
441,1994-10,0
442,1994-11,0
443,1994-12,0
444,1995-01,0
445,1995-02,0
446,1995-03,0
447,1995-04,11
448,1995-05,2
449,1995-06,0
450,1995-07,0
451,1995-08,0
452,1995-09,0
453,1995-10,0
454,1995-11,0
455,1995-12,0
456,1996-01,0
457,1996-02,0
458,1996-03,0
459,1996-04,0
460,1996-05,1
461,1996-06,0
462,1996-07,0
463,1996-08,0
464,1996-09,0
465,1996-10,0
466,1996-11,0
467,1996-12,0
468,1997-01,0
469,1997-02,0
470,1997-03,1
471,1997-04,0
472,1997-05,0
473,1997-06,0
474,1997-07,0
475,1997-08,0
476,1997-09,0
477,1997-10,0
478,1997-11,0
479,1997-12,0
480,1998-01,0
481,1998-02,0
482,1998-03,3
483,1998-04,10
484,1998-05,0
485,1998-06,0
486,1998-07,0
487,1998-08,0
488,1998-09,0
489,1998-10,0
490,1998-11,0
491,1998-12,0
492,1999-01,4
493,1999-02,1
494,1999-03,0
495,1999-04,1
496,1999-05,0
497,1999-06,0
498,1999-07,0
499,1999-08,0
500,1999-09,0
501,1999-10,0
