,날짜,행정구역,항목,미세먼지배출량
415,2001,경상북도,도로이동오염원,2306030.0
416,2001,경상북도,비도로이동오염원,846827.0
417,2001,경상북도,폐기물처리,4738.0
418,2001,경상남도,배출원대분류 합계,4220996.0
419,2001,경상남도,에너지산업 연소,1263437.0
420,2001,경상남도,비산업 연소,124538.0
421,2001,경상남도,제조업 연소,93447.0
422,2001,경상남도,생산공정,16730.0
423,2001,경상남도,도로이동오염원,2054405.0
424,2001,경상남도,비도로이동오염원,665146.0
425,2001,경상남도,폐기물처리,3292.0
426,2001,제주특별자치도,배출원대분류 합계,546032.0
427,2001,제주특별자치도,에너지산업 연소,36548.0
428,2001,제주특별자치도,비산업 연소,62761.0
429,2001,제주특별자치도,제조업 연소,779.0
430,2001,제주특별자치도,생산공정,191.0
431,2001,제주특별자치도,도로이동오염원,332274.0
432,2001,제주특별자치도,비도로이동오염원,113440.0
433,2001,제주특별자치도,폐기물처리,38.0
434,2001,수도권,배출원대분류 합계,15661807.0
435,2001,수도권,에너지산업 연소,498418.0
436,2001,수도권,비산업 연소,917745.0
437,2001,수도권,제조업 연소,1642355.0
438,2001,수도권,생산공정,242386.0
439,2001,수도권,도로이동오염원,10300588.0
440,2001,수도권,비도로이동오염원,2035295.0
441,2001,수도권,폐기물처리,25018.0
442,2001,수도권 대기관리권역,배출원대분류 합계,14367752.0
443,2001,수도권 대기관리권역,에너지산업 연소,492195.0
444,2001,수도권 대기관리권역,비산업 연소,881656.0
445,2001,수도권 대기관리권역,제조업 연소,1466872.0
446,2001,수도권 대기관리권역,생산공정,184034.0
447,2001,수도권 대기관리권역,도로이동오염원,9401622.0
448,2001,수도권 대기관리권역,비도로이동오염원,1916825.0
449,2001,수도권 대기관리권역,폐기물처리,24548.0
450,2002,전국,배출원대분류 합계,65099618.0
451,2002,전국,에너지산업 연소,5196477.0
452,2002,전국,비산업 연소,2665432.0
453,2002,전국,제조업 연소,14881056.0
454,2002,전국,생산공정,6378272.0
455,2002,전국,도로이동오염원,27224707.0
456,2002,전국,비도로이동오염원,8678822.0
457,2002,전국,폐기물처리,74851.0
458,2002,서울특별시,배출원대분류 합계,4636994.0
459,2002,서울특별시,에너지산업 연소,13335.0
460,2002,서울특별시,비산업 연소,340660.0
461,2002,서울특별시,제조업 연소,4905.0
462,2002,서울특별시,도로이동오염원,3399033.0
463,2002,서울특별시,비도로이동오염원,875202.0
464,2002,서울특별시,폐기물처리,3858.0
465,2002,부산광역시,배출원대분류 합계,3758568.0
466,2002,부산광역시,에너지산업 연소,893323.0
467,2002,부산광역시,비산업 연소,125218.0
468,2002,부산광역시,제조업 연소,150530.0
469,2002,부산광역시,생산공정,25734.0
470,2002,부산광역시,도로이동오염원,1680285.0
471,2002,부산광역시,비도로이동오염원,880172.0
472,2002,부산광역시,폐기물처리,3306.0
473,2002,대구광역시,배출원대분류 합계,2075576.0
474,2002,대구광역시,에너지산업 연소,112321.0
475,2002,대구광역시,비산업 연소,154166.0
476,2002,대구광역시,제조업 연소,431591.0
477,2002,대구광역시,생산공정,1419.0
478,2002,대구광역시,도로이동오염원,1163070.0
479,2002,대구광역시,비도로이동오염원,210838.0
480,2002,대구광역시,폐기물처리,2171.0
481,2002,인천광역시,배출원대분류 합계,2568683.0
482,2002,인천광역시,에너지산업 연소,147313.0
483,2002,인천광역시,비산업 연소,49965.0
484,2002,인천광역시,제조업 연소,513060.0
485,2002,인천광역시,생산공정,86855.0
486,2002,인천광역시,도로이동오염원,1344799.0
487,2002,인천광역시,비도로이동오염원,424063.0
488,2002,인천광역시,폐기물처리,2627.0
489,2002,광주광역시,배출원대분류 합계,825296.0
490,2002,광주광역시,비산업 연소,48177.0
491,2002,광주광역시,제조업 연소,4711.0
492,2002,광주광역시,생산공정,133.0
493,2002,광주광역시,도로이동오염원,642463.0
